method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,28.180733510255813,58.8991044574976,117.48905207812786,220.9333461970091
L0opt_CD,0.2282958036661148,0.3924790817499161,0.779205732345581,1.4339805644750596
L0opt_CDPSI,3.16011018037796,4.30120551943779,6.522524741292,10.97911096215248
GSDAR,2.379976698756218,5.042623142004013,11.12094124019146,22.296411381363868
lassonet,16.034069531559943,19.93280988395214,27.974712861180308,36.26225797355175
lassonet_plus,30.093517585396768,32.909682819247244,40.20265214502811,47.816730625629425
deep2stage,7.457324427962303,8.18564696073532,11.761646114587784,21.109530280828476
deep2stage_plus,21.42669386804104,21.420484151244164,23.891942973136903,33.162765687108035
