method,k=10,k=20,all
stepwise_plain,0.03375,0.027142857142857142,0.03066666666666667
L0opt_CD,0.03625,0.03142857142857143,0.034
L0opt_CDPSI,0.03625,0.03142857142857143,0.034
GSDAR,0.0575,0.03428571428571429,0.04666666666666666
lassonet,0.03625,0.025714285714285714,0.03133333333333333
lassonet_plus,0.035,0.028571428571428574,0.032
deep2stage,0.8200000000000001,0.5442857142857143,0.6913333333333334
deep2stage_plus,0.03375,0.03,0.032
